,ViewName,ViewID,GoalName,Date,Campaign,Channel group,Source,Medium,Ad content,Value,AdsetV5,ViewName_eq,AdsetV5_eq
0,Leads,96577637,5 - Popular Auto - New Lead Generator,2/5/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,Popular Auto,1,Other,Leads,Other
1,Leads,96577637,5 - Popular Auto - New Lead Generator,2/5/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
2,Leads,96577637,5 - Popular Auto - New Lead Generator,2/9/2022,4079089-_popularauto-remailstartingconnection-diciembre2021-acquisition-aâ€°Ã›Ãœ,(Other),email-et,popular@email.popular.comâ€°Ã›Ãœ,2021-12-16â€°Ã›Ãœ,1,Assisted,Leads,Assisted
3,Leads,96577637,5 - Popular Auto - New Lead Generator,2/17/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
4,Leads,96577637,5 - Popular Auto - New Lead Generator,2/17/2022,2021 - auto - starting connection - display - discovery,Paid Search,google,cpc,(not set),2,Other,Leads,Other
5,Leads,96577637,5 - Popular Auto - New Lead Generator,2/21/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,(not set),2,Other,Leads,Other
6,Leads,96577637,5 - Popular Auto - New Lead Generator,2/21/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
7,Leads,96577637,5 - Popular Auto - New Lead Generator,3/2/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,Popular Auto,1,Other,Leads,Other
8,Leads,96577637,5 - Popular Auto - New Lead Generator,3/3/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,Popular Auto,1,Other,Leads,Other
9,Leads,96577637,5 - Popular Auto - New Lead Generator,3/4/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
10,Leads,96577637,5 - Popular Auto - New Lead Generator,3/7/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
11,Leads,96577637,5 - Popular Auto - New Lead Generator,3/11/2022,2021 - auto - starting connection - display - discovery,Paid Search,google,cpc,(not set),1,Other,Leads,Other
12,Leads,96577637,5 - Popular Auto - New Lead Generator,3/22/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
13,Leads,96577637,5 - Popular Auto - New Lead Generator,3/23/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
14,Leads,96577637,5 - Popular Auto - New Lead Generator,3/23/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
15,Leads,96577637,5 - Popular Auto - New Lead Generator,3/28/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,Popular Auto,1,Other,Leads,Other
16,Leads,96577637,5 - Popular Auto - New Lead Generator,3/30/2022,popular - lending - auto - starting connection + hyundai - performance max - pr 21 30 - mar 21 2022 _ ///fee220301es01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Auto - Starting Connection + Hyundai - Performance Max - PR 21 30 - Mar 21 2022 _ ///FEE220301ES01\\\,Leads,Popular - Lending - Auto - Starting Connection + Hyundai - Performance Max - PR 21 30 - Mar 21 2022 _ ///FEE220301ES01\\\
17,Leads,96577637,5 - Popular Auto - New Lead Generator,3/31/2022,popular - lending - auto - starting connection + hyundai - performance max - pr 21 30 - mar 21 2022 _ ///fee220301es01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Auto - Starting Connection + Hyundai - Performance Max - PR 21 30 - Mar 21 2022 _ ///FEE220301ES01\\\,Leads,Popular - Lending - Auto - Starting Connection + Hyundai - Performance Max - PR 21 30 - Mar 21 2022 _ ///FEE220301ES01\\\
18,Leads,96577637,16 - Risk Service Lead,4/2/2022,popular - lending - auto - starting connection + hyundai - performance max - pr 21 30 - mar 21 2022 _ ///fee220301es01\\\,Paid Search,google,cpc,(not set),1,Assisted,Leads,Assisted
19,Leads,96577637,5 - Popular Auto - New Lead Generator,4/3/2022,4078962-_popularauto-remailstartingconnection-diciembre2021-acquisition-aâ€°Ã›Ãœ,(Other),email-et,popular@email.popular.comâ€°Ã›Ãœ,2021-12-16â€°Ã›Ãœ,1,Assisted,Leads,Assisted
20,Leads,96577637,5 - Popular Auto - New Lead Generator,4/3/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
21,Leads,96577637,5 - Popular Auto - New Lead Generator,4/7/2022,2021 - auto - starting connection - display - discovery,Paid Search,google,cpc,(not set),1,Other,Leads,Other
22,Leads,96577637,5 - Popular Auto - New Lead Generator,4/8/2022,popular - lending - auto - starting connection + hyundai - performance max - pr 21 30 - mar 21 2022 _ ///fee220301es01\\\,Paid Search,google,cpc,(not set),1,Popular - Lending - Auto - Starting Connection + Hyundai - Performance Max - PR 21 30 - Mar 21 2022 _ ///FEE220301ES01\\\,Leads,Popular - Lending - Auto - Starting Connection + Hyundai - Performance Max - PR 21 30 - Mar 21 2022 _ ///FEE220301ES01\\\
23,Leads,96577637,5 - Popular Auto - New Lead Generator,4/8/2022,millasaa,(Other),qrcodemillasaa,prinserteng,(not set),1,Other,Leads,Other
24,Leads,96577637,5 - Popular Auto - New Lead Generator,4/10/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
25,Leads,96577637,5 - Popular Auto - New Lead Generator,4/11/2022,2020 - auto - starting connection - search,Paid Search,google,cpc,(not set),1,Other,Leads,Other
26,Leads,96577637,5 - Popular Auto - New Lead Generator,4/14/2022,popular-lending-auto-starting-connection-hyundai-cbo-on-site-leads-all-pr-18-sc-gif-hyundai-01-mar-21-2022-flt1_fee220301es01,(Other),facebook-paid,fb-lead-ad,v5i202211082v5f_hyundai2022,1,Popular - Lending - Auto - Starting Connection + Hyundai - CBO - On-Site Leads - All PR 18+ SC - GIF Hyundai 01 - Mar 21 2022 _ ///FEE220301ES01\\\,Leads,Popular - Lending - Auto - Starting Connection + Hyundai - CBO - On-Site Leads - All PR 18+ SC - GIF Hyundai 01 - Mar 21 2022 _ ///FEE220301ES01\\\
27,Leads,96577637,16 - Risk Service Lead,4/16/2022,2018 - seguros - search - ppk - personal package,Paid Search,google,cpc,Popular Insurance,1,Other,Leads,Other
28,Leads,96577637,5 - Popular Auto - New Lead Generator,4/16/2022,2019 - auto - prÃŒÂ©stamo de auto - search,Paid Search,google,cpc,PrÃŒÂ©stamo de Auto,1,Assisted,Leads,Assisted
